subject_name,input_type,input_recipient,count,age
C102,Speech,Baby,24,6
C104,Speech,Baby,24,6
C106,Speech,Baby,15,6
C107,Speech,Baby,13,6
C108,Speech,Baby,29,6
C111,Speech,Baby,9,6
C112,Speech,Baby,16,6
C113,Speech,Baby,19,6
C114,Speech,Baby,12,6
C115,Speech,Baby,13,6
C116,Speech,Baby,21,6
C117,Speech,Baby,19,6
C118,Speech,Baby,12,6
C119,Speech,Baby,13,6
C120,Speech,Baby,19,6
C122,Speech,Baby,6,6
C124,Speech,Baby,11,6
C125,Speech,Baby,14,6
C126,Speech,Baby,12,6
C127,Speech,Baby,12,6
C128,Speech,Baby,17,6
C129,Speech,Baby,24,6
C130,Speech,Baby,22,6
C131,Speech,Baby,14,6
C102,Speech,Other,20,6
C104,Speech,Other,25,6
C106,Speech,Other,26,6
C107,Speech,Other,39,6
C108,Speech,Other,33,6
C111,Speech,Other,9,6
C112,Speech,Other,21,6
C113,Speech,Other,40,6
C114,Speech,Other,20,6
C115,Speech,Other,24,6
C116,Speech,Other,22,6
C117,Speech,Other,26,6
C118,Speech,Other,51,6
C119,Speech,Other,16,6
C120,Speech,Other,37,6
C122,Speech,Other,34,6
C124,Speech,Other,35,6
C125,Speech,Other,14,6
C126,Speech,Other,34,6
C127,Speech,Other,47,6
C128,Speech,Other,42,6
C129,Speech,Other,38,6
C130,Speech,Other,12,6
C131,Speech,Other,32,6
C102,Music,Baby,8,6
C104,Music,Baby,6,6
C106,Music,Baby,5,6
C107,Music,Baby,8,6
C108,Music,Baby,6,6
C111,Music,Baby,0,6
C112,Music,Baby,4,6
C113,Music,Baby,8,6
C114,Music,Baby,0,6
C115,Music,Baby,3,6
C116,Music,Baby,3,6
C117,Music,Baby,2,6
C118,Music,Baby,4,6
C119,Music,Baby,4,6
C120,Music,Baby,1,6
C122,Music,Baby,3,6
C124,Music,Baby,3,6
C125,Music,Baby,0,6
C126,Music,Baby,13,6
C127,Music,Baby,5,6
C128,Music,Baby,4,6
C129,Music,Baby,2,6
C130,Music,Baby,7,6
C131,Music,Baby,5,6
C102,Music,Other,10,6
C104,Music,Other,10,6
C106,Music,Other,6,6
C107,Music,Other,14,6
C108,Music,Other,17,6
C111,Music,Other,3,6
C112,Music,Other,10,6
C113,Music,Other,11,6
C114,Music,Other,4,6
C115,Music,Other,4,6
C116,Music,Other,1,6
C117,Music,Other,11,6
C118,Music,Other,7,6
C119,Music,Other,2,6
C120,Music,Other,8,6
C122,Music,Other,6,6
C124,Music,Other,7,6
C125,Music,Other,10,6
C126,Music,Other,13,6
C127,Music,Other,15,6
C128,Music,Other,6,6
C129,Music,Other,9,6
C130,Music,Other,3,6
C131,Music,Other,6,6
C102,Speech,Baby,13,10
C104,Speech,Baby,31,10
C106,Speech,Baby,21,10
C107,Speech,Baby,20,10
C108,Speech,Baby,27,10
C111,Speech,Baby,9,10
C112,Speech,Baby,22,10
C113,Speech,Baby,43,10
C114,Speech,Baby,16,10
C115,Speech,Baby,28,10
C116,Speech,Baby,21,10
C117,Speech,Baby,41,10
C118,Speech,Baby,19,10
C119,Speech,Baby,24,10
C120,Speech,Baby,20,10
C122,Speech,Baby,14,10
C124,Speech,Baby,10,10
C125,Speech,Baby,11,10
C126,Speech,Baby,12,10
C127,Speech,Baby,9,10
C128,Speech,Baby,14,10
C129,Speech,Baby,18,10
C130,Speech,Baby,15,10
C131,Speech,Baby,15,10
C102,Speech,Other,23,10
C104,Speech,Other,31,10
C106,Speech,Other,33,10
C107,Speech,Other,19,10
C108,Speech,Other,33,10
C111,Speech,Other,16,10
C112,Speech,Other,36,10
C113,Speech,Other,29,10
C114,Speech,Other,33,10
C115,Speech,Other,13,10
C116,Speech,Other,30,10
C117,Speech,Other,16,10
C118,Speech,Other,43,10
C119,Speech,Other,29,10
C120,Speech,Other,12,10
C122,Speech,Other,42,10
C124,Speech,Other,41,10
C125,Speech,Other,17,10
C126,Speech,Other,29,10
C127,Speech,Other,36,10
C128,Speech,Other,36,10
C129,Speech,Other,32,10
C130,Speech,Other,11,10
C131,Speech,Other,28,10
C102,Music,Baby,3,10
C104,Music,Baby,4,10
C106,Music,Baby,4,10
C107,Music,Baby,5,10
C108,Music,Baby,7,10
C111,Music,Baby,1,10
C112,Music,Baby,7,10
C113,Music,Baby,1,10
C114,Music,Baby,1,10
C115,Music,Baby,4,10
C116,Music,Baby,3,10
C117,Music,Baby,3,10
C118,Music,Baby,4,10
C119,Music,Baby,2,10
C120,Music,Baby,8,10
C122,Music,Baby,1,10
C124,Music,Baby,2,10
C125,Music,Baby,0,10
C126,Music,Baby,3,10
C127,Music,Baby,1,10
C128,Music,Baby,0,10
C129,Music,Baby,0,10
C130,Music,Baby,6,10
C131,Music,Baby,1,10
C102,Music,Other,3,10
C104,Music,Other,8,10
C106,Music,Other,5,10
C107,Music,Other,6,10
C108,Music,Other,11,10
C111,Music,Other,3,10
C112,Music,Other,5,10
C113,Music,Other,5,10
C114,Music,Other,1,10
C115,Music,Other,1,10
C116,Music,Other,7,10
C117,Music,Other,5,10
C118,Music,Other,9,10
C119,Music,Other,3,10
C120,Music,Other,3,10
C122,Music,Other,10,10
C124,Music,Other,10,10
C125,Music,Other,2,10
C126,Music,Other,8,10
C127,Music,Other,13,10
C128,Music,Other,6,10
C129,Music,Other,3,10
C130,Music,Other,11,10
C131,Music,Other,3,10
C102,Speech,Baby,18,14
C104,Speech,Baby,37,14
C106,Speech,Baby,22,14
C107,Speech,Baby,18,14
C108,Speech,Baby,14,14
C111,Speech,Baby,12,14
C112,Speech,Baby,28,14
C113,Speech,Baby,31,14
C114,Speech,Baby,17,14
C115,Speech,Baby,26,14
C116,Speech,Baby,30,14
C117,Speech,Baby,22,14
C118,Speech,Baby,11,14
C119,Speech,Baby,28,14
C120,Speech,Baby,26,14
C122,Speech,Baby,14,14
C124,Speech,Baby,12,14
C125,Speech,Baby,22,14
C126,Speech,Baby,11,14
C127,Speech,Baby,10,14
C128,Speech,Baby,20,14
C129,Speech,Baby,23,14
C130,Speech,Baby,28,14
C131,Speech,Baby,29,14
C102,Speech,Other,25,14
C104,Speech,Other,9,14
C106,Speech,Other,32,14
C107,Speech,Other,25,14
C108,Speech,Other,28,14
C111,Speech,Other,11,14
C112,Speech,Other,39,14
C113,Speech,Other,31,14
C114,Speech,Other,21,14
C115,Speech,Other,23,14
C116,Speech,Other,31,14
C117,Speech,Other,12,14
C118,Speech,Other,46,14
C119,Speech,Other,24,14
C120,Speech,Other,28,14
C122,Speech,Other,46,14
C124,Speech,Other,41,14
C125,Speech,Other,18,14
C126,Speech,Other,40,14
C127,Speech,Other,33,14
C128,Speech,Other,29,14
C129,Speech,Other,30,14
C130,Speech,Other,19,14
C131,Speech,Other,21,14
C102,Music,Baby,2,14
C104,Music,Baby,2,14
C106,Music,Baby,4,14
C107,Music,Baby,2,14
C108,Music,Baby,5,14
C111,Music,Baby,0,14
C112,Music,Baby,5,14
C113,Music,Baby,3,14
C114,Music,Baby,1,14
C115,Music,Baby,2,14
C116,Music,Baby,2,14
C117,Music,Baby,7,14
C118,Music,Baby,1,14
C119,Music,Baby,3,14
C120,Music,Baby,2,14
C122,Music,Baby,1,14
C124,Music,Baby,4,14
C125,Music,Baby,2,14
C126,Music,Baby,3,14
C127,Music,Baby,2,14
C128,Music,Baby,3,14
C129,Music,Baby,2,14
C130,Music,Baby,4,14
C131,Music,Baby,5,14
C102,Music,Other,6,14
C104,Music,Other,2,14
C106,Music,Other,14,14
C107,Music,Other,11,14
C108,Music,Other,10,14
C111,Music,Other,9,14
C112,Music,Other,11,14
C113,Music,Other,7,14
C114,Music,Other,3,14
C115,Music,Other,0,14
C116,Music,Other,3,14
C117,Music,Other,7,14
C118,Music,Other,5,14
C119,Music,Other,10,14
C120,Music,Other,2,14
C122,Music,Other,10,14
C124,Music,Other,13,14
C125,Music,Other,5,14
C126,Music,Other,7,14
C127,Music,Other,5,14
C128,Music,Other,11,14
C129,Music,Other,11,14
C130,Music,Other,8,14
C131,Music,Other,5,14
C102,Speech,Baby,21,18
C104,Speech,Baby,32,18
C106,Speech,Baby,24,18
C107,Speech,Baby,20,18
C108,Speech,Baby,16,18
C111,Speech,Baby,19,18
C112,Speech,Baby,25,18
C113,Speech,Baby,33,18
C114,Speech,Baby,20,18
C115,Speech,Baby,21,18
C116,Speech,Baby,26,18
C117,Speech,Baby,29,18
C118,Speech,Baby,13,18
C119,Speech,Baby,19,18
C120,Speech,Baby,30,18
C122,Speech,Baby,23,18
C124,Speech,Baby,32,18
C125,Speech,Baby,20,18
C126,Speech,Baby,13,18
C127,Speech,Baby,16,18
C128,Speech,Baby,30,18
C129,Speech,Baby,36,18
C130,Speech,Baby,21,18
C131,Speech,Baby,27,18
C102,Speech,Other,29,18
C104,Speech,Other,21,18
C106,Speech,Other,21,18
C107,Speech,Other,36,18
C108,Speech,Other,40,18
C111,Speech,Other,15,18
C112,Speech,Other,23,18
C113,Speech,Other,22,18
C114,Speech,Other,17,18
C115,Speech,Other,18,18
C116,Speech,Other,27,18
C117,Speech,Other,10,18
C118,Speech,Other,51,18
C119,Speech,Other,23,18
C120,Speech,Other,23,18
C122,Speech,Other,34,18
C124,Speech,Other,45,18
C125,Speech,Other,25,18
