subject_name,age,input_type,count
C102,6,Speech,45
C104,6,Speech,52
C106,6,Speech,45
C107,6,Speech,55
C108,6,Speech,66
C111,6,Speech,19
C112,6,Speech,41
C113,6,Speech,64
C114,6,Speech,37
C115,6,Speech,39
C116,6,Speech,49
C117,6,Speech,48
C118,6,Speech,65
C119,6,Speech,30
C120,6,Speech,57
C122,6,Speech,46
C124,6,Speech,53
C125,6,Speech,32
C126,6,Speech,46
C127,6,Speech,61
C128,6,Speech,62
C129,6,Speech,66
C130,6,Speech,38
C131,6,Speech,47
C102,6,Music,19
C104,6,Music,17
C106,6,Music,13
C107,6,Music,24
C108,6,Music,24
C111,6,Music,3
C112,6,Music,14
C113,6,Music,19
C114,6,Music,5
C115,6,Music,9
C116,6,Music,4
C117,6,Music,14
C118,6,Music,13
C119,6,Music,7
C120,6,Music,9
C122,6,Music,9
C124,6,Music,11
C125,6,Music,10
C126,6,Music,30
C127,6,Music,21
C128,6,Music,11
C129,6,Music,11
C130,6,Music,12
C131,6,Music,11
C102,10,Speech,41
C104,10,Speech,65
C106,10,Speech,57
C107,10,Speech,39
C108,10,Speech,65
C111,10,Speech,27
C112,10,Speech,62
C113,10,Speech,74
C114,10,Speech,53
C115,10,Speech,47
C116,10,Speech,55
C117,10,Speech,59
C118,10,Speech,65
C119,10,Speech,55
C120,10,Speech,39
C122,10,Speech,58
C124,10,Speech,56
C125,10,Speech,29
C126,10,Speech,44
C127,10,Speech,48
C128,10,Speech,56
C129,10,Speech,52
C130,10,Speech,30
C131,10,Speech,45
C102,10,Music,6
C104,10,Music,12
C106,10,Music,9
C107,10,Music,11
C108,10,Music,21
C111,10,Music,4
C112,10,Music,13
C113,10,Music,6
C114,10,Music,2
C115,10,Music,6
C116,10,Music,11
C117,10,Music,9
C118,10,Music,14
C119,10,Music,5
C120,10,Music,11
C122,10,Music,11
C124,10,Music,12
C125,10,Music,2
C126,10,Music,11
C127,10,Music,14
C128,10,Music,6
C129,10,Music,4
C130,10,Music,17
C131,10,Music,4
C102,14,Speech,46
C104,14,Speech,51
C106,14,Speech,59
C107,14,Speech,45
C108,14,Speech,43
C111,14,Speech,25
C112,14,Speech,70
C113,14,Speech,70
C114,14,Speech,44
C115,14,Speech,53
C116,14,Speech,67
C117,14,Speech,40
C118,14,Speech,64
C119,14,Speech,55
C120,14,Speech,55
C122,14,Speech,62
C124,14,Speech,56
C125,14,Speech,44
C126,14,Speech,54
C127,14,Speech,43
C128,14,Speech,50
C129,14,Speech,57
C130,14,Speech,52
C131,14,Speech,53
C102,14,Music,9
C104,14,Music,4
C106,14,Music,22
C107,14,Music,13
C108,14,Music,17
C111,14,Music,9
C112,14,Music,16
C113,14,Music,10
C114,14,Music,4
C115,14,Music,2
C116,14,Music,5
C117,14,Music,14
C118,14,Music,6
C119,14,Music,15
C120,14,Music,4
C122,14,Music,11
C124,14,Music,18
C125,14,Music,7
C126,14,Music,11
C127,14,Music,8
C128,14,Music,14
C129,14,Music,13
C130,14,Music,12
C131,14,Music,10
C102,18,Speech,57
C104,18,Speech,57
C106,18,Speech,53
C107,18,Speech,62
C108,18,Speech,61
C111,18,Speech,36
C112,18,Speech,55
C113,18,Speech,60
C114,18,Speech,41
C115,18,Speech,43
C116,18,Speech,60
C117,18,Speech,46
C118,18,Speech,69
C119,18,Speech,45
C120,18,Speech,56
C122,18,Speech,62
C124,18,Speech,79
C125,18,Speech,50
C126,18,Speech,39
C127,18,Speech,46
C128,18,Speech,56
C129,18,Speech,57
C130,18,Speech,49
C131,18,Speech,61
C102,18,Music,5
C104,18,Music,12
C106,18,Music,6
C107,18,Music,14
C108,18,Music,22
C111,18,Music,6
C112,18,Music,17
C113,18,Music,9
C114,18,Music,2
C115,18,Music,10
C116,18,Music,7
C117,18,Music,10
C118,18,Music,14
C119,18,Music,11
C120,18,Music,4
C122,18,Music,11
C124,18,Music,13
C125,18,Music,8
C126,18,Music,2
C127,18,Music,23
C128,18,Music,17
C129,18,Music,10
C130,18,Music,4
C131,18,Music,1
C102,24,Speech,45
C104,24,Speech,47
C106,24,Speech,53
C107,24,Speech,69
C108,24,Speech,64
C111,24,Speech,34
C112,24,Speech,53
C113,24,Speech,64
C114,24,Speech,62
C115,24,Speech,55
C116,24,Speech,74
C117,24,Speech,62
C118,24,Speech,67
C119,24,Speech,61
C120,24,Speech,74
C122,24,Speech,73
C124,24,Speech,64
C125,24,Speech,52
C126,24,Speech,44
C127,24,Speech,55
C128,24,Speech,74
C129,24,Speech,62
C130,24,Speech,45
C131,24,Speech,56
C102,24,Music,4
C104,24,Music,9
C106,24,Music,3
C107,24,Music,14
C108,24,Music,15
C111,24,Music,10
C112,24,Music,19
C113,24,Music,9
C114,24,Music,5
C115,24,Music,11
C116,24,Music,6
C117,24,Music,13
C118,24,Music,10
C119,24,Music,12
C120,24,Music,6
C122,24,Music,11
C124,24,Music,12
C125,24,Music,5
C126,24,Music,12
C127,24,Music,8
C128,24,Music,12
C129,24,Music,14
C130,24,Music,8
C131,24,Music,6
