subject_id,T0,T2,T3,T6,T10
99681920,[3. 0. 0. 5.],[2. 0. 1.],[0. 0. 0.],[0. 2. 1. 0.],[0. 0. 0. 0.]
99681923,[1. 0. 0. 6.],[1. 0. 0.],[0. 0. 0.],[0. 0. 1. 0.],[0. 0. 0. 0.]
99681928,[5. 0. 1. 1.],[5. 0. 1.],[0. 0. 1.],[1. 1. 1. 3.],[0. 1. 0. 0.]
99681931,[1. 1. 0. 5.],[1. 0. 0.],[0. 1. 0.],[0. 0. 0. 1.],[0. 1. 0. 0.]
99681933,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 0. 0. 7.],[0. 0. 0. 0.]
99681935,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 0. 0. 7.],[0. 0. 0. 0.]
99681937,[2. 3. 3. 0.],[2. 0. 3.],[0. 4. 2.],[0. 1. 2. 2.],[0. 2. 3. 1.]
99681940,[6. 0. 0. 1.],[6. 0. 0.],[0. 0. 0.],[0. 0. 0. 6.],[0. 0. 0. 0.]
99681943,[5. 0. 0. 2.],[5. 0. 0.],[0. 0. 0.],[1. 0. 4. 0.],[0. 0. 0. 0.]
99681945,[6. 0. 0. 1.],[5. 1. 0.],[0. 0. 0.],[0. 3. 2. 1.],[0. 0. 0. 0.]
99681947,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 0. 0. 7.],[0. 0. 0. 0.]
99681948,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 2. 4. 1.],[0. 0. 0. 0.]
99681949,[3. 0. 0. 4.],[3. 0. 0.],[0. 0. 0.],[0. 0. 0. 3.],[0. 0. 0. 0.]
99681950,[7. 0. 0. 0.],[7. 0. 0.],[0. 0. 0.],[0. 1. 1. 5.],[0. 0. 0. 0.]
99681952,[1. 3. 3. 0.],[1. 1. 2.],[0. 5. 1.],[0. 0. 3. 1.],[0. 2. 4. 0.]
