subject_name,age,input_type,count,input_source
EILD101,275,Speech,53,Person
EILD101,275,Speech,5,Device
EILD101,275,Music,0,Person
EILD101,275,Music,24,Device
EILD104,523,Speech,33,Person
EILD104,523,Speech,3,Device
EILD104,523,Music,0,Person
EILD104,523,Music,45,Device
EILD105,485,Speech,45,Person
EILD105,485,Speech,4,Device
EILD105,485,Music,6,Person
EILD105,485,Music,13,Device
EILD106,334,Speech,55,Person
EILD106,334,Speech,2,Device
EILD106,334,Music,3,Person
EILD106,334,Music,11,Device
EILD108,228,Speech,27,Person
EILD108,228,Speech,3,Device
EILD108,228,Music,0,Person
EILD108,228,Music,3,Device
EILD109,226,Speech,39,Person
EILD109,226,Speech,18,Device
EILD109,226,Music,1,Person
EILD109,226,Music,16,Device
EILD110,172,Speech,54,Person
EILD110,172,Speech,5,Device
EILD110,172,Music,3,Person
EILD110,172,Music,60,Device
EILD111,191,Speech,50,Person
EILD111,191,Speech,21,Device
EILD111,191,Music,1,Person
EILD111,191,Music,14,Device
EILD112,388,Speech,60,Person
EILD112,388,Speech,11,Device
EILD112,388,Music,4,Person
EILD112,388,Music,7,Device
EILD113,667,Speech,51,Person
EILD113,667,Speech,8,Device
EILD113,667,Music,1,Person
EILD113,667,Music,13,Device
EILD114,398,Speech,33,Person
EILD114,398,Speech,6,Device
EILD114,398,Music,2,Person
EILD114,398,Music,26,Device
EILD115,120,Speech,62,Person
EILD115,120,Speech,6,Device
EILD115,120,Music,1,Person
EILD115,120,Music,19,Device
EILD116,424,Speech,30,Person
EILD116,424,Speech,3,Device
EILD116,424,Music,2,Person
EILD116,424,Music,8,Device
EILD117,561,Speech,57,Person
EILD117,561,Speech,10,Device
EILD117,561,Music,1,Person
EILD117,561,Music,18,Device
EILD201,159,Speech,43,Person
EILD201,159,Speech,11,Device
EILD201,159,Music,5,Person
EILD201,159,Music,13,Device
EILD202,537,Speech,42,Person
EILD202,537,Speech,8,Device
EILD202,537,Music,0,Person
EILD202,537,Music,15,Device
EILD302,573,Speech,52,Person
EILD302,573,Speech,9,Device
EILD302,573,Music,0,Person
EILD302,573,Music,30,Device
EILD303,427,Speech,38,Person
EILD303,427,Speech,6,Device
EILD303,427,Music,5,Person
EILD303,427,Music,46,Device
EILD304,358,Speech,40,Person
EILD304,358,Speech,3,Device
EILD304,358,Music,2,Person
EILD304,358,Music,2,Device
EILD305,433,Speech,34,Person
EILD305,433,Speech,0,Device
EILD305,433,Music,2,Person
EILD305,433,Music,0,Device
EILD307,467,Speech,25,Person
EILD307,467,Speech,15,Device
EILD307,467,Music,2,Person
EILD307,467,Music,24,Device
EILD309,518,Speech,45,Person
EILD309,518,Speech,3,Device
EILD309,518,Music,0,Person
EILD309,518,Music,4,Device
EILD310,523,Speech,40,Person
EILD310,523,Speech,11,Device
EILD310,523,Music,0,Person
