subject_name,age,input_type,count
EILD101,275,Speech,57
EILD101,275,Music,24
EILD104,523,Speech,35
EILD104,523,Music,47
EILD105,485,Speech,50
EILD105,485,Music,19
EILD106,334,Speech,57
EILD106,334,Music,14
EILD108,228,Speech,30
EILD108,228,Music,3
EILD109,226,Speech,54
EILD109,226,Music,17
EILD110,172,Speech,57
EILD110,172,Music,62
EILD111,191,Speech,70
EILD111,191,Music,15
EILD112,388,Speech,72
EILD112,388,Music,11
EILD113,667,Speech,60
EILD113,667,Music,14
EILD114,398,Speech,42
EILD114,398,Music,27
EILD115,120,Speech,67
EILD115,120,Music,20
EILD116,424,Speech,33
EILD116,424,Music,10
EILD117,561,Speech,66
EILD117,561,Music,20
EILD201,159,Speech,51
EILD201,159,Music,18
EILD202,537,Speech,50
EILD202,537,Music,15
EILD302,573,Speech,59
EILD302,573,Music,30
EILD303,427,Speech,43
EILD303,427,Music,48
EILD304,358,Speech,43
EILD304,358,Music,4
EILD305,433,Speech,35
EILD305,433,Music,2
EILD307,467,Speech,40
EILD307,467,Music,26
EILD309,518,Speech,49
EILD309,518,Music,4
EILD310,523,Speech,51
EILD310,523,Music,25
EILD311,456,Speech,62
EILD311,456,Music,18
EILD312,313,Speech,24
EILD312,313,Music,2
EILD313,307,Speech,36
EILD313,307,Music,14
EILD314,500,Speech,56
EILD314,500,Music,13
EILD316,500,Speech,41
EILD316,500,Music,6
EILD317,367,Speech,30
EILD317,367,Music,3
EILD320,320,Speech,49
EILD320,320,Music,15
EILD321,445,Speech,46
EILD321,445,Music,9
EILD322,518,Speech,69
EILD322,518,Music,9
EILD323,414,Speech,74
EILD323,414,Music,15
EILD326,472,Speech,40
EILD326,472,Music,17
EILD328,488,Speech,78
EILD328,488,Music,10
EILD329,521,Speech,69
EILD329,521,Music,2
EILD330,363,Speech,48
EILD330,363,Music,15
EILD331,387,Speech,47
EILD331,387,Music,22
EILD333,488,Speech,58
EILD333,488,Music,3
EILD334,587,Speech,40
EILD334,587,Music,19
EILD335,415,Speech,58
EILD335,415,Music,17
EILD336,202,Speech,55
EILD336,202,Music,8
WBH106,212,Speech,72
WBH106,212,Music,17
WBH110,390,Speech,53
WBH110,390,Music,2
WBH118,143,Speech,52
WBH118,143,Music,10
WBH125,443,Speech,43
WBH125,443,Music,3
WBH130,356,Speech,55
WBH130,356,Music,9
WBH132,257,Speech,62
WBH132,257,Music,7
WBH133,709,Speech,36
WBH133,709,Music,36
WBH135,485,Speech,66
WBH135,485,Music,5
WBH136,691,Speech,65
WBH136,691,Music,24
WBH137,563,Speech,46
WBH137,563,Music,26
WBH140,527,Speech,45
WBH140,527,Music,5
WBH141,452,Speech,71
WBH141,452,Music,23
WBH142,682,Speech,51
WBH142,682,Music,24
WBH143,504,Speech,37
WBH143,504,Music,18
WBH144,589,Speech,57
WBH144,589,Music,14
WBH145,314,Speech,73
WBH145,314,Music,15
WBH146,389,Speech,63
WBH146,389,Music,17
WBH147,691,Speech,53
WBH147,691,Music,16
WBH149,562,Speech,49
WBH149,562,Music,3
WBH150,699,Speech,42
WBH150,699,Music,30
WBH151,679,Speech,84
WBH151,679,Music,15
WBH152,321,Speech,52
WBH152,321,Music,10
