music_baby,music_other,speech_baby,speech_other
11.5,7.041666667,23.25,25.33333333
7.166666667,6.208333333,27.58333333,26.16666667
6.75,7.833333333,24.25,24.79166667
8.416666667,5.208333333,24.125,30.29166667
12.29166667,5.75,23.45833333,26.375
7.583333333,5.958333333,19.66666667,24.29166667
9.375,7.25,23.20833333,29.04166667
6.041666667,5.416666667,25.75,26.25
8.458333333,5.458333333,23.75,24.91666667
10.58333333,6.25,25.41666667,23
9.875,6.333333333,24,27.33333333
10.16666667,6.791666667,25.54166667,21.29166667
9.416666667,7.041666667,30,21.5
6.75,8.375,23.08333333,23
12.33333333,5.5,23.95833333,28.45833333
9,8,20.66666667,27.33333333
6.791666667,5.541666667,22.20833333,25.41666667
6.416666667,7.416666667,25.125,25.66666667
5.916666667,5.875,24.95833333,29.5
7.708333333,8.333333333,20.16666667,27.95833333
8.958333333,6,23.29166667,27.875
13,7.625,24.95833333,25.70833333
6.5,6,24.16666667,25.41666667
8.791666667,8.416666667,27.625,26.83333333
7.916666667,4.625,26.04166667,25.45833333
9.791666667,6.083333333,23.83333333,30.54166667
12.70833333,5.958333333,22.58333333,29.08333333
10.08333333,6.791666667,23.5,24.16666667
7.666666667,5.666666667,26.45833333,26.375
11.375,5.75,25.20833333,24.625
7.291666667,5.916666667,26.08333333,24.66666667
11,7.791666667,22.83333333,28.91666667
12,5.541666667,26.125,23.95833333
13.75,9.416666667,24.08333333,29.83333333
8.541666667,4.708333333,24.45833333,26.41666667
7.708333333,5.708333333,28.54166667,27.625
6.958333333,7.166666667,25,26.95833333
10.75,5.375,26.04166667,21.08333333
7.75,7,24.58333333,28.54166667
9.75,6.041666667,25.5,23.58333333
7.666666667,7.041666667,26.95833333,23.66666667
11.75,4.625,21.79166667,23.66666667
8.541666667,6.125,26.08333333,26.875
5.875,6.291666667,25.41666667,25.29166667
9.25,5.458333333,23.75,21.79166667
9.291666667,8.083333333,24.33333333,28.125
10.79166667,6.541666667,27.125,27.79166667
13.29166667,6.375,24.375,26.875
7.666666667,7.041666667,24.54166667,24.5
6.458333333,5.958333333,30.16666667,25.875
7.666666667,6.291666667,27.29166667,21.5
10,8.041666667,23.08333333,29.83333333
6.625,6.958333333,23.54166667,29.45833333
13.33333333,6.166666667,25.33333333,28.625
10.54166667,5.291666667,23.20833333,25.91666667
7.958333333,7.083333333,24.375,26
6.833333333,7.458333333,24.83333333,24.45833333
6.875,6.791666667,26.875,23.66666667
7.5,5.416666667,23,26.75
6.958333333,7.291666667,23.58333333,28
9,6.75,30.04166667,25.41666667
10.08333333,6.833333333,24.54166667,26.08333333
7.5,6.833333333,20.83333333,27.83333333
11.04166667,4.833333333,23.125,20.58333333
8.166666667,5.041666667,27.75,23.25
8.708333333,5.791666667,24.29166667,24.54166667
9.708333333,5.708333333,24.79166667,23.91666667
11.16666667,5.166666667,23.29166667,27.75
10.29166667,7.875,24.625,23.33333333
9,6.25,25.70833333,20.91666667
7.208333333,7.041666667,24,26.375
6.583333333,6.416666667,25.45833333,26.41666667
4.791666667,4.875,27.16666667,25.20833333
9.708333333,4.541666667,22.95833333,23.83333333
7.208333333,9.25,22.29166667,23.83333333
7.25,5.833333333,23.5,23.08333333
8.875,6.083333333,25.54166667,27.33333333
12.20833333,6.416666667,21.29166667,24.70833333
5.666666667,7.166666667,26.25,25.20833333
6.666666667,5.5,24.20833333,23.95833333
6.458333333,5.916666667,25.58333333,26.75
11.83333333,5.958333333,24.625,24.875
8.125,7.083333333,26.41666667,30.58333333
6.375,6.25,21.625,23.25
10.79166667,7.041666667,24.08333333,28.70833333
13.41666667,5.75,26.25,23.66666667
12.75,6.5,24.5,26.375
8.541666667,5,25.33333333,24.33333333
6.208333333,6.916666667,24.625,29.08333333
8.125,6.541666667,23.16666667,24.70833333
7.791666667,4.875,24.625,27.5
6.666666667,5.458333333,21.91666667,24.91666667
9.583333333,6.75,24.66666667,25.83333333
8.375,6.083333333,26.04166667,25.41666667
7.583333333,6.041666667,26,25.79166667
6.666666667,7.5,25.58333333,30.66666667
8.458333333,5.791666667,25.625,27.375
5.583333333,5.708333333,26.91666667,24.70833333
13.20833333,6.333333333,23.95833333,26.20833333
9.291666667,6.375,26.54166667,22.95833333
8.875,6.5,23,27.83333333
7.083333333,6.875,26.04166667,26.125
9.708333333,8.166666667,27.58333333,26.41666667
8.583333333,6.5,25.45833333,25
6.125,5.083333333,25.5,26.5
12.25,5.166666667,25.08333333,26.875
7.625,6.875,26.95833333,27.95833333
8.333333333,7.708333333,24.41666667,27.04166667
8.666666667,3.833333333,26.91666667,26.16666667
11.625,6.125,23.41666667,28.875
6.541666667,5.208333333,25.95833333,22.41666667
8.958333333,8.208333333,23.75,23.91666667
9.291666667,6.5,20.29166667,24.875
10.375,6.375,22.66666667,26.125
7.25,5.583333333,24.33333333,24.16666667
11.95833333,6.583333333,23.70833333,21.16666667
11.83333333,6.583333333,24.875,22.95833333
9.791666667,7.25,22.5,25.375
8.666666667,5.916666667,24.58333333,26.54166667
8.416666667,5.666666667,26.45833333,25.625
12.66666667,5.416666667,27.20833333,22.33333333
5.5,4.958333333,26.125,26.25
9.041666667,7.875,24.79166667,26.16666667
9.416666667,5.958333333,24.91666667,26.16666667
8.666666667,7.375,21.45833333,26.29166667
11.375,7.625,23.45833333,28.375
9.916666667,9,25.45833333,26.04166667
4.166666667,5.791666667,24.04166667,26.25
4.458333333,3.791666667,21.08333333,22.04166667
8.791666667,4.916666667,25.04166667,23.33333333
8.958333333,5.083333333,29.41666667,22.45833333
6.791666667,7.583333333,27.58333333,23.625
7.166666667,7.958333333,22.08333333,27.70833333
7.375,7.125,22.83333333,25.125
7.208333333,6.25,22.45833333,27.04166667
8.25,6.708333333,26,23.16666667
10.625,6.041666667,21.33333333,31.91666667
8.375,5.833333333,24.375,25.08333333
9.833333333,6.083333333,23.33333333,28
10.75,7.166666667,24.25,21.70833333
9.25,7.416666667,23.125,26.33333333
9.291666667,4.125,27.91666667,21.16666667
8.875,6.916666667,26.375,26.91666667
9.5,6.291666667,24.625,24.41666667
7.791666667,5.458333333,26.29166667,24.75
5.875,6.291666667,25.20833333,23.70833333
7.458333333,5.375,26.91666667,25.04166667
