music_baby,music_other,speech_baby,speech_other,,mean,std
2.958333333,7.166666667,21.375,25.625,,3.111,0.382179205
3.208333333,7.291666667,22.25,28.41666667,,6.872083333,0.575487565
2.625,6,22.83333333,25.54166667,,22.63491667,1.549719596
2.75,6.458333333,23,23.75,,26.85554167,1.206959644
3.291666667,7.666666667,24.41666667,25.875,,,
3.166666667,7.166666667,24.54166667,27.5,,,
2.541666667,6.708333333,22.45833333,28.66666667,,,
3.083333333,6.5,21.95833333,27.95833333,,,
2.75,6.416666667,22.91666667,26.20833333,,,
3,6.166666667,20.41666667,26.75,,,
3.083333333,7.291666667,19.54166667,30.04166667,,,
3.416666667,7.625,21.375,25.25,,,
3.041666667,6.875,23.66666667,26.125,,,
2.916666667,7.041666667,22.375,26.66666667,,,
2.5,7.166666667,25.16666667,25.83333333,,,
3,6.458333333,22.25,26.91666667,,,
2.75,7.958333333,21.20833333,27.58333333,,,
3.166666667,7,21.79166667,28.16666667,,,
3.333333333,5.791666667,26.625,25.08333333,,,
2.583333333,6.75,22,27.41666667,,,
3.125,7.25,24.91666667,25.375,,,
2.958333333,6.083333333,25,25.79166667,,,
2.708333333,6.5,24.79166667,24.91666667,,,
3.083333333,7.208333333,23.75,26.04166667,,,
3.041666667,6.125,22.54166667,28.45833333,,,
2.875,6.416666667,21.70833333,27.33333333,,,
3.583333333,6.041666667,22.70833333,24.70833333,,,
2.333333333,6.375,19.91666667,27.66666667,,,
2.916666667,6.625,20.79166667,28.66666667,,,
3.375,7.708333333,23.20833333,26.25,,,
3.083333333,7.875,23.66666667,28.29166667,,,
2.916666667,6.458333333,22.25,26.54166667,,,
3,7,21.91666667,27.95833333,,,
3.291666667,7,20.45833333,28.375,,,
4.041666667,7.333333333,21.75,27.66666667,,,
3.958333333,6.625,21.5,27.125,,,
3.75,6.333333333,19.58333333,25.75,,,
2.75,7,24.29166667,24.91666667,,,
3.208333333,6.958333333,21.58333333,27,,,
3.5,7.333333333,27.125,26.41666667,,,
2.75,6.125,24,25.875,,,
3.375,6.291666667,21.70833333,26.58333333,,,
2.916666667,7.083333333,23.125,26.70833333,,,
2.375,7.75,22,25.125,,,
2.25,6.875,22.875,26.66666667,,,
3.416666667,6.458333333,21.375,28.875,,,
2.666666667,6.333333333,21.54166667,25.5,,,
3.541666667,6.791666667,21.41666667,25.70833333,,,
2.5,6.25,23.45833333,25.29166667,,,
3.75,7.041666667,21.45833333,27.79166667,,,
2.958333333,7.375,22.125,27.58333333,,,
3.125,6.208333333,21.875,27.33333333,,,
2.75,5.708333333,21.75,26.70833333,,,
3.25,7.291666667,22.66666667,27.20833333,,,
2.958333333,6.458333333,23.95833333,25.75,,,
3.208333333,6.958333333,23.75,26.54166667,,,
3.208333333,7.083333333,26,25.83333333,,,
3.041666667,7.333333333,24.33333333,28.29166667,,,
2.875,7.666666667,20.75,27.45833333,,,
2.708333333,6.75,21.16666667,28.45833333,,,
2.375,5.416666667,25.08333333,28.33333333,,,
3.166666667,6.875,23.5,25.58333333,,,
3.541666667,7.125,23.45833333,27.75,,,
3.333333333,6.833333333,21.08333333,27.41666667,,,
3.5,7.166666667,22.95833333,25.33333333,,,
3.708333333,7.458333333,19.41666667,27.29166667,,,
3.458333333,7.375,22.625,27.83333333,,,
3.125,6.208333333,20.20833333,27.58333333,,,
3.625,6.708333333,23.54166667,27.20833333,,,
3.083333333,6.541666667,21.79166667,30.04166667,,,
3.416666667,5.333333333,23.54166667,25.16666667,,,
3.333333333,7.25,20.16666667,27.08333333,,,
3.416666667,6,23.20833333,25.33333333,,,
2.791666667,6.833333333,23,27.875,,,
3.208333333,7.041666667,24.79166667,26.54166667,,,
2.916666667,7.208333333,24.95833333,26.79166667,,,
3.541666667,7.166666667,26.25,26.16666667,,,
3.416666667,6.708333333,23.95833333,26.08333333,,,
3.75,7.333333333,21.83333333,26.95833333,,,
3,6.291666667,24.79166667,26.625,,,
2.5,7.75,23.29166667,25.5,,,
2.791666667,6.208333333,23.04166667,25.75,,,
3.75,6.708333333,23.5,26.58333333,,,
2.916666667,7.125,21.75,26.25,,,
3.125,5.791666667,21.70833333,27.16666667,,,
2.666666667,6.708333333,23.08333333,27.45833333,,,
3.083333333,6.5,21.33333333,26.20833333,,,
3.5,7.375,22.04166667,26.58333333,,,
3.5,7.375,21.5,27.375,,,
3.25,7.541666667,23.25,28.125,,,
2.833333333,7.375,22.66666667,28.20833333,,,
3.125,6.875,25.95833333,24.95833333,,,
3.5,7.5,20.375,29.33333333,,,
2.708333333,6.375,21.54166667,26.33333333,,,
3.166666667,7.166666667,21.75,27.08333333,,,
3.083333333,6.833333333,23.45833333,24.33333333,,,
3.333333333,6.041666667,25.5,28.5,,,
2.833333333,6.458333333,24.54166667,27.83333333,,,
3.291666667,6.833333333,22.70833333,25.54166667,,,
