music_device,music_person,speech_device,speech_person,,mean,std
14.125,1.791666667,5.208333333,47.66666667,,13.93183333,2.321493587
12.875,2.291666667,7.291666667,46.45833333,,2.219708333,0.390331214
16.54166667,2.083333333,6.125,45.625,,5.829833333,0.978335591
13.16666667,3.375,7.25,51.5,,47.56620833,2.716061435
14.33333333,1.916666667,7.291666667,46.33333333,,,
13.66666667,2.208333333,6.458333333,42.08333333,,,
13.95833333,2.333333333,5.25,46.95833333,,,
13.875,1.75,5.666666667,43.70833333,,,
16.45833333,1.875,5.5,50.625,,,
12.95833333,2.125,5,50.66666667,,,
13.66666667,2.291666667,5.125,54.125,,,
13.04166667,1.75,5,48.04166667,,,
17.83333333,2.166666667,7.208333333,43.54166667,,,
14.625,1.708333333,5.666666667,48.08333333,,,
12.91666667,2.458333333,5.25,49.125,,,
13.58333333,2.291666667,6.625,48.45833333,,,
14.25,2.041666667,6.625,45.70833333,,,
9.916666667,2.125,5.333333333,50.25,,,
14.20833333,1.958333333,5.291666667,45.58333333,,,
18.91666667,2.208333333,6.666666667,48.25,,,
15.16666667,2,7.75,48.375,,,
11.25,1.958333333,5.708333333,45.70833333,,,
11.95833333,2.416666667,4.916666667,49.20833333,,,
14.79166667,2.958333333,6.041666667,43.16666667,,,
14.16666667,2,4.666666667,43.58333333,,,
12.16666667,2.083333333,4.916666667,48.125,,,
15,2.041666667,7,46.54166667,,,
12.75,2.166666667,7.125,42.29166667,,,
13.95833333,1.625,4.875,45.875,,,
13.54166667,2.166666667,8.458333333,48.45833333,,,
14.625,1.791666667,4.125,45.04166667,,,
15.04166667,2.541666667,5.708333333,47,,,
10.66666667,1.708333333,4.041666667,49.75,,,
15,2.708333333,6.375,47.875,,,
13.625,2.375,4.5,51.29166667,,,
12.375,1.958333333,6.708333333,45.45833333,,,
11.20833333,1.666666667,6,48.375,,,
10.75,2.875,5.833333333,50.66666667,,,
13.16666667,2.291666667,6.875,49.5,,,
14.95833333,2.75,5.541666667,50.04166667,,,
11.5,1.791666667,5.458333333,46.91666667,,,
11.20833333,2.458333333,4.583333333,51.29166667,,,
18.75,1.875,6.625,45.375,,,
13.625,1.875,5.791666667,47.33333333,,,
12,2.541666667,4.541666667,53.375,,,
18.5,2.708333333,7.416666667,48.75,,,
11.04166667,2.208333333,5.75,47.58333333,,,
18.70833333,1.75,4.416666667,49.33333333,,,
17.08333333,1.916666667,4.708333333,47.5,,,
17.66666667,1.916666667,8.041666667,45.83333333,,,
16.83333333,2.166666667,5.291666667,50.20833333,,,
15.29166667,2.791666667,6.208333333,48,,,
15.83333333,2.25,5.916666667,52.625,,,
10.54166667,1.625,4.375,51.33333333,,,
11.79166667,2.166666667,4.583333333,47.375,,,
13.20833333,2.833333333,6.5,47.95833333,,,
12.29166667,2.333333333,6.041666667,51.66666667,,,
14.625,1.75,6.041666667,45.66666667,,,
15.33333333,2.791666667,4.916666667,47.54166667,,,
14.91666667,1.916666667,6.375,44.25,,,
19.625,2.583333333,7.041666667,46.75,,,
14.125,1.583333333,7.25,44.45833333,,,
15.375,2.291666667,6.125,50.58333333,,,
14.41666667,2.375,6.333333333,45.5,,,
14.20833333,2.833333333,5.375,47,,,
13.04166667,2.458333333,6.375,48.375,,,
14.83333333,2,4.75,50.08333333,,,
15.625,2.75,4.208333333,51.70833333,,,
13.58333333,2.791666667,4.291666667,49.70833333,,,
12.33333333,2.125,5.666666667,44.41666667,,,
13.83333333,2,5.041666667,44.83333333,,,
16.75,2.875,6.708333333,54.58333333,,,
11.79166667,2.5,6.291666667,42.66666667,,,
17.33333333,2.291666667,5.958333333,48.66666667,,,
11,2.25,5.666666667,51.125,,,
18.79166667,2.541666667,5.375,51.54166667,,,
12.375,2.166666667,6.208333333,45.33333333,,,
11.16666667,2.541666667,6.583333333,44.625,,,
14.75,2.333333333,5.375,43.91666667,,,
11.83333333,2.125,5.416666667,45.375,,,
13.45833333,2.375,7.083333333,48.54166667,,,
15.29166667,2.25,6.5,47.95833333,,,
13.625,2.666666667,5.041666667,47.91666667,,,
15.625,2.541666667,5.5,43.91666667,,,
14.5,2.625,5.25,49.83333333,,,
13.91666667,1.666666667,6.875,46.83333333,,,
18.83333333,2.5,6.833333333,52.04166667,,,
12.08333333,2.25,4.916666667,49.375,,,
15.58333333,3.125,4.458333333,49.16666667,,,
