subject_name,age,music_device,music_person,speech_device,speech_person
C102,6,13.0,6.0,2.0,43.0
C102,10,5.0,1.0,4.0,40.0
C102,14,5.0,4.0,1.0,46.0
C102,18,3.0,2.0,7.0,48.0
C102,24,3.0,1.0,0.0,45.0
C104,6,12.0,7.0,1.0,52.0
C104,10,9.0,3.0,6.0,61.0
C104,14,2.0,2.0,2.0,50.0
C104,18,11.0,2.0,5.0,53.0
C104,24,3.0,6.0,2.0,45.0
C106,6,11.0,2.0,4.0,39.0
C106,10,7.0,2.0,4.0,54.0
C106,14,21.0,2.0,4.0,57.0
C106,18,3.0,3.0,3.0,51.0
C106,24,2.0,0.0,1.0,53.0
C107,6,23.0,5.0,10.0,45.0
C107,10,8.0,4.0,1.0,37.0
C107,14,11.0,4.0,7.0,42.0
C107,18,11.0,4.0,8.0,57.0
C107,24,14.0,0.0,5.0,65.0
C108,6,17.0,7.0,9.0,58.0
C108,10,18.0,4.0,17.0,50.0
C108,14,13.0,6.0,10.0,35.0
C108,18,18.0,4.0,10.0,52.0
C108,24,9.0,6.0,10.0,57.0
C111,6,3.0,1.0,4.0,17.0
C111,10,4.0,0.0,4.0,27.0
C111,14,9.0,1.0,3.0,22.0
C111,18,4.0,2.0,11.0,29.0
C111,24,8.0,4.0,4.0,30.0
C112,6,12.0,3.0,5.0,38.0
C112,10,10.0,3.0,7.0,60.0
C112,14,13.0,2.0,7.0,65.0
C112,18,15.0,3.0,6.0,49.0
C112,24,17.0,3.0,7.0,49.0
C113,6,14.0,5.0,6.0,58.0
C113,10,5.0,1.0,7.0,69.0
C113,14,7.0,3.0,0.0,70.0
C113,18,9.0,1.0,5.0,56.0
C113,24,7.0,3.0,4.0,60.0
C114,6,3.0,2.0,1.0,35.0
C114,10,0.0,2.0,0.0,53.0
C114,14,3.0,2.0,2.0,43.0
C114,18,2.0,2.0,1.0,40.0
C114,24,3.0,2.0,1.0,61.0
C115,6,7.0,4.0,2.0,38.0
C115,10,5.0,1.0,4.0,45.0
C115,14,1.0,1.0,3.0,51.0
C115,18,5.0,6.0,3.0,42.0
C115,24,8.0,2.0,3.0,52.0
C116,6,0.0,4.0,2.0,47.0
C116,10,8.0,3.0,3.0,53.0
C116,14,3.0,2.0,2.0,66.0
C116,18,5.0,3.0,1.0,59.0
C116,24,6.0,1.0,1.0,74.0
C117,6,9.0,4.0,1.0,47.0
C117,10,6.0,4.0,3.0,57.0
C117,14,12.0,4.0,2.0,39.0
C117,18,6.0,5.0,2.0,44.0
C117,24,12.0,4.0,7.0,55.0
C118,6,12.0,1.0,32.0,39.0
C118,10,14.0,0.0,23.0,44.0
C118,14,5.0,1.0,26.0,43.0
C118,18,13.0,2.0,11.0,58.0
C118,24,10.0,0.0,28.0,42.0
C119,6,6.0,1.0,0.0,30.0
C119,10,2.0,5.0,6.0,52.0
C119,14,13.0,3.0,5.0,50.0
C119,18,11.0,0.0,6.0,39.0
C119,24,11.0,2.0,3.0,58.0
C120,6,6.0,3.0,6.0,51.0
C120,10,11.0,0.0,3.0,36.0
C120,14,4.0,1.0,3.0,53.0
C120,18,4.0,0.0,15.0,44.0
C120,24,5.0,1.0,5.0,70.0
C122,6,7.0,4.0,23.0,27.0
C122,10,9.0,2.0,4.0,56.0
C122,14,10.0,2.0,6.0,58.0
C122,18,9.0,3.0,5.0,55.0
C122,24,11.0,1.0,12.0,64.0
C124,6,7.0,4.0,9.0,47.0
C124,10,12.0,0.0,13.0,47.0
C124,14,12.0,5.0,22.0,37.0
C124,18,12.0,2.0,10.0,72.0
C124,24,11.0,1.0,10.0,55.0
C125,6,8.0,5.0,2.0,32.0
C125,10,0.0,2.0,7.0,25.0
C125,14,5.0,1.0,4.0,40.0
C125,18,7.0,0.0,7.0,47.0
C125,24,4.0,1.0,2.0,52.0
C126,6,28.0,4.0,3.0,43.0
C126,10,9.0,1.0,6.0,40.0
C126,14,9.0,2.0,13.0,47.0
C126,18,1.0,1.0,12.0,27.0
C126,24,9.0,3.0,5.0,40.0
C127,6,19.0,4.0,18.0,47.0
C127,10,13.0,1.0,6.0,44.0
C127,14,8.0,0.0,9.0,37.0
C127,18,14.0,9.0,12.0,38.0
C127,24,6.0,2.0,12.0,46.0
C128,6,10.0,1.0,9.0,57.0
C128,10,6.0,0.0,5.0,52.0
C128,14,11.0,4.0,11.0,40.0
C128,18,12.0,7.0,7.0,54.0
C128,24,6.0,5.0,3.0,72.0
C129,6,10.0,3.0,7.0,62.0
C129,10,3.0,1.0,3.0,49.0
C129,14,12.0,1.0,5.0,54.0
C129,18,9.0,1.0,10.0,49.0
C129,24,13.0,1.0,6.0,59.0
C130,6,9.0,4.0,9.0,30.0
C130,10,17.0,1.0,3.0,27.0
C130,14,7.0,6.0,15.0,39.0
C130,18,2.0,2.0,2.0,47.0
C130,24,8.0,0.0,5.0,40.0
C131,6,6.0,5.0,7.0,41.0
C131,10,3.0,1.0,3.0,43.0
C131,14,6.0,4.0,8.0,48.0
C131,18,0.0,1.0,3.0,59.0
C131,24,4.0,1.0,7.0,52.0
