subject_name,age,music_baby,music_other,speech_baby,speech_other
C102,6,8.0,10.0,24.0,20.0
C102,10,3.0,3.0,13.0,23.0
C102,14,2.0,6.0,18.0,25.0
C102,18,1.0,4.0,21.0,29.0
C102,24,0.0,4.0,37.0,7.0
C104,6,6.0,10.0,24.0,25.0
C104,10,4.0,8.0,31.0,31.0
C104,14,2.0,2.0,37.0,9.0
C104,18,3.0,9.0,32.0,21.0
C104,24,4.0,5.0,32.0,14.0
C106,6,5.0,6.0,15.0,26.0
C106,10,4.0,5.0,21.0,33.0
C106,14,4.0,14.0,22.0,32.0
C106,18,2.0,4.0,24.0,21.0
C106,24,0.0,3.0,28.0,22.0
C107,6,8.0,14.0,13.0,39.0
C107,10,5.0,6.0,20.0,19.0
C107,14,2.0,11.0,18.0,25.0
C107,18,3.0,11.0,20.0,36.0
C107,24,3.0,10.0,40.0,28.0
C108,6,6.0,17.0,29.0,33.0
C108,10,7.0,11.0,27.0,33.0
C108,14,5.0,10.0,14.0,28.0
C108,18,5.0,14.0,16.0,40.0
C108,24,1.0,12.0,29.0,30.0
C111,6,0.0,3.0,9.0,9.0
C111,10,1.0,3.0,9.0,16.0
C111,14,0.0,9.0,12.0,11.0
C111,18,1.0,4.0,19.0,15.0
C111,24,6.0,4.0,23.0,10.0
C112,6,4.0,10.0,16.0,21.0
C112,10,7.0,5.0,22.0,36.0
C112,14,5.0,11.0,28.0,39.0
C112,18,9.0,7.0,25.0,23.0
C112,24,5.0,13.0,24.0,25.0
C113,6,8.0,11.0,19.0,40.0
C113,10,1.0,5.0,43.0,29.0
C113,14,3.0,7.0,31.0,31.0
C113,18,1.0,8.0,33.0,22.0
C113,24,8.0,1.0,37.0,26.0
C114,6,0.0,4.0,12.0,20.0
C114,10,1.0,1.0,16.0,33.0
C114,14,1.0,3.0,17.0,21.0
C114,18,0.0,1.0,20.0,17.0
C114,24,3.0,2.0,35.0,25.0
C115,6,3.0,4.0,13.0,24.0
C115,10,4.0,1.0,28.0,13.0
C115,14,2.0,0.0,26.0,23.0
C115,18,3.0,6.0,21.0,18.0
C115,24,3.0,8.0,29.0,24.0
C116,6,3.0,1.0,21.0,22.0
C116,10,3.0,7.0,21.0,30.0
C116,14,2.0,3.0,30.0,31.0
C116,18,2.0,4.0,26.0,27.0
C116,24,2.0,4.0,43.0,26.0
C117,6,2.0,11.0,19.0,26.0
C117,10,3.0,5.0,41.0,16.0
C117,14,7.0,7.0,22.0,12.0
C117,18,4.0,4.0,29.0,10.0
C117,24,3.0,9.0,47.0,10.0
C118,6,4.0,7.0,12.0,51.0
C118,10,4.0,9.0,19.0,43.0
C118,14,1.0,5.0,11.0,46.0
C118,18,1.0,12.0,13.0,51.0
C118,24,5.0,4.0,22.0,42.0
C119,6,4.0,2.0,13.0,16.0
C119,10,2.0,3.0,24.0,29.0
C119,14,3.0,10.0,28.0,24.0
C119,18,2.0,7.0,19.0,23.0
C119,24,1.0,11.0,38.0,21.0
C120,6,1.0,8.0,19.0,37.0
C120,10,8.0,3.0,20.0,12.0
C120,14,2.0,2.0,26.0,28.0
C120,18,2.0,2.0,30.0,23.0
C120,24,6.0,0.0,55.0,16.0
C122,6,3.0,6.0,6.0,34.0
C122,10,1.0,10.0,14.0,42.0
C122,14,1.0,10.0,14.0,46.0
C122,18,2.0,8.0,23.0,34.0
C122,24,4.0,7.0,36.0,33.0
C124,6,3.0,7.0,11.0,35.0
C124,10,2.0,10.0,10.0,41.0
C124,14,4.0,13.0,12.0,41.0
C124,18,4.0,7.0,32.0,45.0
C124,24,2.0,8.0,33.0,28.0
C125,6,0.0,10.0,14.0,14.0
C125,10,0.0,2.0,11.0,17.0
C125,14,2.0,5.0,22.0,18.0
C125,18,2.0,5.0,20.0,25.0
C125,24,1.0,4.0,37.0,14.0
C126,6,13.0,13.0,12.0,34.0
C126,10,3.0,8.0,12.0,29.0
C126,14,3.0,7.0,11.0,40.0
C126,18,1.0,1.0,13.0,26.0
C126,24,5.0,6.0,13.0,27.0
C127,6,5.0,15.0,12.0,47.0
C127,10,1.0,13.0,9.0,36.0
C127,14,2.0,5.0,10.0,33.0
C127,18,6.0,15.0,16.0,29.0
C127,24,3.0,5.0,25.0,26.0
C128,6,4.0,6.0,17.0,42.0
C128,10,0.0,6.0,14.0,36.0
C128,14,3.0,11.0,20.0,29.0
C128,18,2.0,15.0,30.0,22.0
C128,24,3.0,8.0,46.0,27.0
C129,6,2.0,9.0,24.0,38.0
C129,10,0.0,3.0,18.0,32.0
C129,14,2.0,11.0,23.0,30.0
C129,18,1.0,9.0,36.0,19.0
C129,24,1.0,13.0,27.0,33.0
C130,6,7.0,3.0,22.0,12.0
C130,10,6.0,11.0,15.0,11.0
C130,14,4.0,8.0,28.0,19.0
C130,18,1.0,1.0,21.0,24.0
C130,24,3.0,5.0,26.0,15.0
C131,6,5.0,6.0,14.0,32.0
C131,10,1.0,3.0,15.0,28.0
C131,14,5.0,5.0,29.0,21.0
C131,18,1.0,0.0,27.0,28.0
C131,24,0.0,6.0,19.0,35.0
